solver_name,solver_type
a2c_att+,r_learning
a2c_cnn+,r_learning
a2c_deep_edge_gat_mlp+,r_learning
a2c_dual_deep_edge_gat+,r_learning
a2c_dual_gat+,r_learning
a2c_dual_gcn,r_learning
a2c_dual_gcn+,r_learning
a2c_gat_mlp+,r_learning
a2c_gcn_mlp+,r_learning
a2c_mlp+,r_learning
a3c_att+,r_learning
a3c_cnn+,r_learning
a3c_deep_edge_gat_mlp+,r_learning
a3c_dual_deep_edge_gat+,r_learning
a3c_dual_gat+,r_learning
a3c_dual_gcn+,r_learning
a3c_gat_mlp+,r_learning
a3c_gcn_mlp+,r_learning
a3c_mlp+,r_learning
a3n_gcn_mlp,r_learning
aco_meta,meta_heuristic
conal,r_learning
conal_wo_afb,r_learning
conal_wo_pc,r_learning
conal_wo_reach,r_learning
d_round,rounding
ffd_rank,node_ranking
flag_vne,r_learning
flag_vne_meta_free_multi_policy,r_learning
flag_vne_meta_free_single_policy,r_learning
flag_vne_meta_policy,r_learning
flag_vne_no_curriculum,r_learning
flag_vne_unidirectional_action,r_learning
ga_meta,meta_heuristic
gae_clustering,u_learning
grc_rank,node_ranking
hopfield_network,u_learning
mcts,r_learning
mip,exact
nea_rank,node_ranking
nrm_rank,node_ranking
order_rank,node_ranking
order_rank_bfs,heuristic
pg_att+,r_learning
pg_cnn,r_learning
pg_cnn+,r_learning
pg_cnn2,r_learning
pg_deep_edge_gat_mlp+,r_learning
pg_dual_deep_edge_gat+,r_learning
pg_dual_gat+,r_learning
pg_dual_gcn+,r_learning
pg_gat_mlp+,r_learning
pg_gcn_mlp+,r_learning
pg_mlp,r_learning
pg_mlp+,r_learning
pg_mlp2,r_learning
pl_rank,node_ranking
ppo_att,r_learning
ppo_att+,r_learning
ppo_bigat+,r_learning
ppo_bigcn+,r_learning
ppo_cnn+,r_learning
ppo_deep_edge_gat_mlp+,r_learning
ppo_dual_deep_edge_gat+,r_learning
ppo_dual_gat+,r_learning
ppo_dual_gcn,r_learning
ppo_dual_gcn+,r_learning
ppo_gat_mlp+,r_learning
ppo_gat_seq2seq+,r_learning
ppo_gcn_mlp+,r_learning
ppo_gcn_seq2seq+,r_learning
ppo_hetero_gat+,r_learning
ppo_hetero_gat_no_cl+,r_learning
ppo_hetero_gnn_simple_reward,r_learning
ppo_mlp+,r_learning
pso_meta,meta_heuristic
r_round,rounding
random_rank,node_ranking
random_rank_bfs,heuristic
rw_rank,node_ranking
rw_rank_bfs,heuristic
sa_meta,meta_heuristic
safe_ppo_gcn,r_learning
ts_meta,meta_heuristic
